ticker,instrument_type,currency,country,asset_class,default_ytm,default_duration,default_risk_score,notes
AL30,bono,USD,AR,RF,8.5,3.2,4,Bono soberano Arg 2030 Ley Arg
AE38,bono,USD,AR,RF,9.2,8.5,4,Bono soberano Arg 2038 Ley Arg
AL35,bono,USD,AR,RF,9.0,5.5,4,Bono soberano Arg 2035 Ley Arg
AL41,bono,USD,AR,RF,9.5,11.0,4,Bono soberano Arg 2041 Ley Arg
GD29,bono,USD,AR,RF,8.0,2.5,4,Global Arg 2029 Ley NY
GD30,bono,USD,AR,RF,7.8,3.5,4,Global Arg 2030 Ley NY
GD35,bono,USD,AR,RF,9.8,6.1,5,Global Arg 2035 Ley NY
GD38,bono,USD,AR,RF,9.2,8.5,4,Global Arg 2038 Ley NY
GD41,bono,USD,AR,RF,9.5,10.0,4,Global Arg 2041 Ley NY
GD46,bono,USD,AR,RF,9.8,12.0,5,Global Arg 2046 Ley NY
CUAP,bono,USD,AR,RF,7.0,5.0,4,Bono Cuasi Par
BPY26,bono,USD,AR,RF,7.0,0.5,3,Bopreal Serie 3 2026
PAMP2027,on,USD,AR,RF,7.5,2.5,3,ON Pampa Energía 2027
YPF2026,on,USD,AR,RF,7.2,1.8,4,ON YPF 2026
LOMA2025,on,USD,AR,RF,7.0,0.9,3,ON Loma Negra 2025
VIST2027,on,USD,AR,RF,8.2,2.8,4,ON Vista Energy 2027
S31E5,bono,ARS,AR,RF,60.0,0.2,2,LECAP Ene 2025
TX26,bono,ARS,AR,RF,55.0,1.5,2,Boncer 2026 (CER+3%)
TV25,bono,ARS,AR,RF,55.0,0.6,2,Bono Dólar Linked TV25
SIGMA_RF,fondo,ARS,AR,RF,50.0,0.1,2,FCI Sigma Renta Fija ARS
BALANZ_CAP,fondo,USD,AR,RF,6.5,1.5,2,FCI Balanz Capital USD
BCACCA,fondo,ARS,AR,Equity,10.0,0,3,FCI Balanz Acciones Arg A
BCMMA,fondo,ARS,AR,Cash,55.0,0.1,1,FCI Balanz Money Market A
BINFRAA,fondo,ARS,AR,Alternatives,6.0,0,3,FCI Balanz Infraestructura A
LONGPesosA,fondo,ARS,AR,RF,55.0,0.5,2,FCI Balanz Long Pesos A
PER2A,fondo,ARS,AR,RF,60.0,0.3,2,FCI Lecaps A
PER3A,fondo,ARS,AR,RF,7.5,1.5,3,FCI ONs A
ESTRA1A,fondo,USD,AR,Cash,5.0,0.1,1,FCI Dolar Corto Plazo A
ESTRA3A,fondo,USD,Global,Alternatives,5.0,0,3,FCI Latam A
BCRDolarA,fondo,USD,AR,RF,8.0,3.0,3,FCI Soberano A
BAHUSDA,fondo,USD,AR,RF,7.5,1.5,3,FCI Corporativo A
BINCOME,fondo,USD,Global,RF,6.0,3.0,3,Balanz Income DAC
SPY,etf,ARS,US,Equity,10.0,0,6,S&P 500 ETF CEDEAR
QQQ,etf,ARS,US,Equity,10.0,0,7,Nasdaq 100 ETF CEDEAR
GLD,etf,ARS,Global,Alternatives,4.0,0,4,Gold ETF CEDEAR
IAU,etf,ARS,Global,Alternatives,4.0,0,4,Gold ETF iShares CEDEAR
IBIT,etf,ARS,Global,Alternatives,0.0,0,8,Bitcoin ETF CEDEAR
XLE,etf,ARS,US,Alternatives,5.0,0,6,Energy Sector ETF CEDEAR
